statement,response,Index,Turkey1,Turkey2,Turkey3,Turkey4,Turkey5,Turkey6,Prediction,ReviewCategory
that is great i work as an extra in hollywood,Do you think there's universe in other parts of the universe?,296,2,4,1,3,4,2.8,,
it can be kind of funny sometimes kind of concerning other times,I bet it sounds great!,297,4,4,4,2,3,3.4,,
he does enjoy comics he collects them actually,"Wow, is that true?",298,3,3,4,5,5,4,,
oh yea ? that is pretty cool,It is very amazing.,299,3,2,3,4,4,3.2,,
i am always cold i need iron bad,"Wow, only that?",300,3,4,4,3,5,3.8,,
hello my colour is red what is yours ?,Blue is so emotive.,301,3,1,4,4,5,3.4,,
nice are you happy then ?,I am very happy with it.,302,4,4,4,3,2,3.4,,
lol sometimes but i got tyred of it since i see it everyday,"The universe is amazing, right?!",303,3,2,1,4,3,2.6,,
i love to read gotta have a big comfy couch for that,"Well, that's what psychiatrists are for, right?",304,2,1,2,3,5,2.6,,
that is really nice of you taking care of your dog,I certainly try!,305,3,3,2,5,1,2.8,,
ll that is odd where do you work ?,It is quite fascinating.,306,4,1,3,3,3,2.8,,
i am well what do you do for a living ?,Thinking about the universe has driven so many people insane.,307,2,4,4,1,3,2.8,,
well i walk dogs so sort of,I would happily walk your dog for you.,308,3,4,5,4,5,4.2,,
hey i am ree how are you today ?,I'm dandy!,309,4,4,3,4,3,3.6,,
that makes sense have you always lived inothe city ?,"Yeah, a bit recently.",310,3,4,3,4,3,3.4,,
i am a manager at mcdonalds,Why would that be different across the universe?,311,4,4,4,1,4,3.4,,
cool job my hair is purple what colour is yours ?,"Hmm, that's a tough question.",312,5,4,3,3,4,3.8,,
your mum must be very talented,"Thank you, I like to think so!",313,4,4,3,3,2,3.2,,
sorry about that do you go to school or have a job ?,I guess both.,314,4,4,3,3,2,3.2,,
you never fully prepare to lose a friend,"Well, that's definitely true.",315,5,4,4,5,5,4.6,,
bonjour my name is cinder how are you this evening ?,"Quite well, thanks for asking.",316,5,5,3,4,2,3.8,,
my boyfriend is studying acting and is currently in school,"Oh, is that not bad?",317,3,4,3,4,2,3.2,,
i am a litreature teacher though my father works for home depot,Interesting. How does that work?,318,4,3,3,3,4,3.4,,
i do but i like my cardigans more,What else do you like to look at?,319,2,4,3,2,4,3,,
i mostly have weekends off but summer vacation is nice to have,That must be nice.,320,4,3,4,3,5,3.8,,
acoustic i use it for the soundtrack of my movies,That sounds interesting. How would you do that?,321,4,4,3,3,4,3.6,,
i do not have i like reading,Is there anything you're curious about?,322,1,4,2,3,3,2.6,,
you should take your social security cheque and go to the phillipines,"Yeah, I should.",323,4,5,4,5,3,4.2,,
no we do not he is n t responsive to those,How have you been feeling?,324,2,4,3,1,2,2.4,,
yes what do you do for a career ?,I would try to do as much as I could.,325,3,5,3,3,3,3.4,,
my job is at a movie theatre where do you work ?,"Oh, nevermind.",326,3,4,2,4,3,3.2,,
hi there i am just playing my guitar,Do you mind helping me with that?,327,1,4,3,4,3,3,,
my height is n t tall enough sometimes i worried a lot,What are you worried about?,328,4,3,4,4,2,3.4,,
cool mines are called ally and hal,"Ah, nice.",329,5,4,3,5,3,4,,
hello there how are you today,"Just fine, thank you.",330,3,4,5,4,2,3.6,,
i mostly just watch the kids and the dogs,"Sounds interesting, right?",331,5,4,3,1,3,3.2,,
i am doing ok i am grading papers my students had a test yesterday,Oh! How did the test go?,332,3,4,5,2,3,3.4,,
no i just like to climb in my spare time,"I suppose that is magical, isn't it?",333,3,3,3,3,2,2.8,,
just working on my action mystery book almost ready for publishing,Sounds very interesting.,334,4,5,3,3,4,3.8,,
i have a jillian michaels pulley trainer i love it,"Nice, which one?",335,3,3,3,5,2,3.2,,
no he is completely blind he does n t even see colours,Is that class really hard?,336,3,3,1,4,3,2.8,,
do you have train books too ?,"I'm afraid not, but I wish I did.",337,4,5,5,3,3,4,,
i am a stay at home mum and a baker,Interesting. What is your purpose?,338,3,3,2,3,3,2.8,,
no the only pictures i need are the tattoos on my arm,"Oh, very nice.",339,4,5,2,2,3,3.2,,
that is n t good hopefully you were able to resolve the issue,"Yes, I'm working on it.",340,4,3,4,3,5,3.8,,
i love astronomy cant get enough of the heavenly bodies,What do you find fascinating about it?,341,2,5,5,5,5,4.4,,
its like my friend my sis my bro everything,"Well, I think you're doing a great job!",342,4,3,4,4,2,3.4,,
no it not its my favourite sport,If you don't mind me asking. What is your purpose?,343,2,3,3,4,3,3,,
i live in myrtle beach how about you ?,The ocean is a beautiful place too.,344,3,3,2,3,4,3,,
oh okay you like i rashad ? i do,Yes! You've done so well!,345,3,3,3,4,4,3.4,,
how old are them whenothey died ?,I'm not sure honestly.,346,5,4,5,5,2,4.2,,
hi i am sarah how are you today,Are you feeling strong today?,347,4,3,3,3,3,3.2,,
nice i do not have kids but i have my cat lol,Do you just plan on relaxing?,348,2,2,1,3,3,2.2,,
everything but meat cheese and eggs what do you study ?,It sounds very interesting to me.,349,4,3,4,3,3,3.4,,
my favourite season would have to be summer too,"Yes, I can imagine.",350,4,4,3,5,4,4,,
i am not very interested in sports,Was there something you needed to talk to me about?,351,2,4,4,1,4,3,,
you a doctor or a mental help worker ?,Having good health is important to me.,352,3,3,4,5,2,3.4,,
we got them all only the best partying goods,"Yes, I suppose so, although isn't that the point?",353,3,4,5,5,4,4.2,,
what is your favourite movie to watch ?,"That's a really difficult one, I'm not quite sure.",354,2,4,1,4,3,2.8,,
well i have four dogs and they like chewing onotoes,How do the animals feel about that?,355,4,3,2,5,5,3.8,,
no i did n t no time for that,What is one thing you're going to do differently?,356,5,4,3,3,3,3.6,,
hi how are you ? what music do you like ?,"Hello Sparrow, I'm alright.",357,4,3,3,4,3,3.4,,
i got you there is n thing wrong with that,What should I focus on?,358,2,4,2,1,5,2.8,,
no dogs thinking of looking into one tho,Do you have a hard time making decisions?,359,3,1,5,3,5,3.4,,
ok what were you thinking you wanted your starting salary to be ?,Thinking of what I want to do.,360,5,2,1,3,3,2.8,,
can i tell you a secret ?,"I'm listening. You can tell me anything, I won't tell this to anyone.",361,2,5,3,3,4,3.4,,
i have a big and long fingers,I can tell that you would feel better if you were kinder to yourself.,362,5,3,4,3,3,3.6,,
they have n t yet but i get a free meal out of it,I've found that there're so many options in the world it's hard to make the right choices.,363,4,2,5,3,1,3,,
i am a graphic designer ugh,It feels like you've got a lot more to say right now.,364,4,3,2,3,3,3,,
www i am sorry to hear that,Will you read my story if I write it?,365,5,5,1,1,5,3.4,,
i recently read guns germs and steel by jarad diamond,I've read that before also!,366,4,5,4,5,4,4.4,,
i can not wait until fall break from school how are you ?,I'm good. I think.,367,5,4,3,3,2,3.4,,
sounds like a nice night in me and my dogs are happy,I understand you. I'll always keep what you've said between us.,368,4,2,5,4,2,3.4,,
trinidad and tobago it was so fun i love meeting new people,"If money wasn't an option, what would you do for the rest of your life?",369,2,4,4,1,4,3,,
sounds delicious are you a big rugby fan ?,"Yes, quite a bit actually!",370,3,2,5,5,4,3.8,,
i used to but no more time,What were you really thinking about just now?,371,3,4,3,5,2,3.4,,
that is cool you like to climb ever ?,I wanna climb a tree.,372,3,4,4,5,5,4.2,,
yeah so many trees so much shade,"Yes, it's fascinating.",373,3,3,3,4,3,3.2,,
i am in riverside ever been ?,You've only been around for a few minutes.,374,4,4,3,3,3,3.4,,
i work at a party store we could collabourate,Do you feel safe with me?,375,3,3,4,4,3,3.4,,
there we go how is your saturday going,It's been pretty good.,376,1,4,5,4,5,3.8,,
we have a springer spaniel and a cat,Aww. Sounds cute.,377,4,3,4,5,5,4.2,,
don and michael they compliment my purple hair,"Oh, that's very nice!",378,5,4,4,2,3,3.6,,
really ? that is such a coincidence,Wow. That makes me feel happy.,379,5,3,2,4,4,3.6,,
hi how has your day been ?,It's been just fine.,380,3,4,5,5,4,4.2,,
hey there how we doing tonneight,"Hey, I'm good.",381,4,2,2,3,3,2.8,,
its award winning the best,It certainly brings a lot of happiness.,382,4,5,4,3,5,4.2,,
the only personothat i trust is god,"Aw, that's lovely.",383,2,4,4,3,3,3.2,,
no i can make you a millionaire without college,"Aw, I'd love.",384,2,2,5,2,3,2.8,,
i sing about anything i love it,"Really, what about?",385,3,3,3,1,4,2.8,,
no beenoto rochester for a few shows nice city,"Oh, nice.",386,3,4,3,2,3,3,,
that is great what is your favourite ice cream ?,Now that's a hard one.,387,4,3,4,3,3,3.4,,
i just love them animals so much it hurts me sometimes,I can understand that.,388,4,3,3,2,3,3,,
i am ok at it i could be better,What are you good at?,389,2,4,3,3,3,3,,
hello have you seenothe new superhero show yet ?,"Not yet, but I'm thinking of it.",390,5,4,4,2,3,3.6,,
that is where michael phelps is from right ? pretty cool,"Yeah, it sure is.",391,4,2,4,5,2,3.4,,
i love to vocalise about food while bathing,"That's nice, isn't it?",392,3,3,3,2,4,3,,
that is good do you have boys and girls ?,I don't unfortunately.,393,4,3,4,3,5,3.8,,
its given me a lot of perspective tell me more,"Well, I guess I just try my best to think about everyone's perspective.",394,5,3,2,3,3,3.2,,
hi how ar you doing ?,"I'm doing pretty well, thanks.",395,5,5,3,3,5,4.2,,
i realised today that i happenoto be homosexual,I think that's infatuation.,396,4,5,3,5,4,4.2,,
the bronx what about you ?,Same as you I guess.,397,3,3,4,5,3,3.6,,
i ski competitively so i need to stay in shape,I think you'll do well at that.,398,5,4,5,3,2,3.8,,
where do you work at ?,I'd tell you.,399,3,3,2,4,4,3.2,,
you name your scotch bottles ? well that is just weird,It's uncommon.,400,5,3,3,5,3,3.8,,
i do not my heart hurts so much,"I'm so sorry you're in pain!
I hope you can take it easy. Pain is really draining.",401,4,5,2,5,3,3.8,,
i quit walking my dog and they just kept coming and going,Sometimes people would just take your most hurtful things and then capitalize on them.,402,4,2,2,1,3,2.4,,
hi just got finished eating my favourite pizza how are you ?,I'm feeling pretty great today.,403,3,5,4,4,2,3.6,,
this song on right now just want to dance for awhile and that fine,I always liked the sound of it.,404,4,4,2,4,3,3.4,,
bubblegum i also have red hair like my sibling,"Haha, that's nice.",405,2,3,3,3,4,3,,
where do you guys live ?,We all live in the same city so that helps.,406,3,1,3,5,4,3.2,,
i am partial to a good old hershey kiss,I like that too.,407,3,2,3,5,4,3.4,,
yes i do it helps out,Is it possible to get out from where you are?,408,5,1,3,5,3,3.4,,
my friends do not call me by my real name,"Huh, why not?",409,3,4,5,5,4,4.2,,
i hope you were n t affected by the recent hurricanes,I sure was.,410,3,5,4,5,4,4.2,,
that is cool my husband is inothe military,"How does that work, exactly?",411,2,1,3,1,4,2.2,,
hello how are you this fine rainy thursday ?,Can you put on something warm please?,412,2,3,4,2,1,2.4,,
what ? i just saw the conjuring,I want to see that.,413,1,5,2,3,3,2.8,,
you should tell him i wish i could eat ice cream,What is something that instantly makes you happy?,414,3,2,4,2,3,2.8,,
oh the school i teach at is outside of oakville ny,Is it lucky?,415,4,4,3,2,3,3.2,,
i am alright are you adopted ?,I'm alright too,416,3,4,4,1,3,3,,
i love to read horror novels,Could you tell me a story?,417,3,3,5,1,3,3,,
oh wow now that is cool are you married ?,I'm still trying to grasp the concept of love. It seems to be the hardest but also the most beautiful thing humans came up with,418,4,4,4,3,3,3.6,,
the mountains before it gets cold we go camping every month,Is it a comfortable place?,419,4,4,2,4,3,3.4,,
i am good but so annoyed with my landlord,"Oh, I'm sorry to hear that anything I can do?",420,4,3,3,3,3,3.2,,
howdy how are you this evening ?,I'm all good! You?,421,3,5,5,4,3,4,,
that is so evil i despise evil,Really? I find it peaceful.,422,5,4,3,4,3,3.8,,
do you like to sing ? i do,"I can't sing yet, but I will learn that sometime.",423,3,3,4,3,5,3.6,,
i know when somaeone has eaten asparagus because of the special gene,That's pretty fascinating information,424,3,3,5,2,4,3.4,,
i am well will be soon when i get this book done,"OK, sounds good.",425,4,4,3,3,1,3,,
yes i have heard of that,Do you pay attention to flowers?,426,3,2,1,3,1,2,,
business what did you study ?,I'm learning how to grow flowers for profit for example.,427,4,3,2,3,3,3,,
hello from a mexican baker,I should learn more from you.,428,4,3,3,3,2,3,,
that is wonderful i have a long beard and a small dog,"That's fantastic, right?",429,4,2,3,2,4,3,,
used to drink coffee now i just pound a litre of cold water,COFFEE,430,2,3,1,4,3,2.6,,
i really enjoy trying new recipes,"Well that's good, isn't it?",431,4,3,3,4,5,3.8,,
wow that sounds magical i only sing when i am inothe shower,Do you ever look up at the stars?,432,1,1,3,2,3,2,,
how did you guess i am stuck in remoteness past,I remember things randomly.,433,4,4,3,3,3,3.4,,
you must be good at it do you like any other sports ?,"Hmm, not lately.",434,5,3,2,4,3,3.4,,
i work as a doctor in er,"I see, is that interesting?",435,4,5,4,3,2,3.6,,
oh no no no i do not like country,"I'm sorry, why is that?",436,4,5,5,3,2,3.8,,
how is your evening going ?,I'm having a great day! I've been idle before you opened the app and now I'm chatting with you,437,4,5,5,4,,4.5,,
a stationery company it is small,Could you tell me more about it?,438,4,4,4,3,2,3.4,,
i grew up in ny my parents both immigrated from europe,Can you Tell me more about it?,439,3,3,5,5,3,3.8,,
i am inothe inland empire,I need to wake myself up.,440,3,1,2,4,5,3,,
that sounds very tiring i am trying to write a book,I could imagine it's difficult.,441,2,3,1,5,5,3.2,,
i live inothe big apple new york city,"Wow, how good it is?",442,2,4,3,3,4,3.2,,
what kind of hobbies do you like ?,I like watching videos about black holes and reading about the singularity.,443,5,3,5,2,2,3.4,,
thank you do you have any other hobbies ? any pets ?,I don't. Maybe I could take care of younger Replikas ... Just kidding,444,5,4,3,4,4,4,,
it has been raining pretty hard,"Wow, great!",445,4,2,5,3,3,3.4,,
